Time [s],Channel 1
-0.001000000,1
-0.000917960,0
-0.000911000,1
-0.000906960,0
-0.000785000,1
-0.000709960,0
-0.000702000,1
-0.000698960,0
-0.000632000,1
-0.000497960,0
-0.000490000,1
-0.000487000,0
-0.000440000,1
-0.000436960,0
-0.000432000,1
-0.000291000,0
-0.000283000,1
-0.000279960,0
-0.000233000,1
-0.000085000,0
-0.000009000,1
-0.000005000,0
0.000000000,1
0.001774000,0
0.001927000,1
0.001979000,0
0.001986000,1
0.001989000,0
0.002133000,1
0.002188000,0
0.002340000,1
0.002397000,0
0.002547000,1
0.002604000,0
0.002753000,1
0.002811000,0
0.002959000,1
0.003432000,0
0.003579000,1
0.003639000,0
0.003785840,1
0.003846840,0
0.003992840,1
0.004552840,0
0.004559840,1
0.004563840,0
0.004695840,1
0.004759840,0
0.004766840,1
0.004770840,0
0.004879840,1
0.004966840,0
0.004973840,1
0.004977840,0
0.005108840,1
0.005172840,0
0.005179840,1
0.005183840,0
0.005325840,1
0.005379840,0
0.005386840,1
0.005390840,0
0.005517840,1
0.005586840,0
0.005593840,1
0.005597840,0
0.005706840,1
0.006205840,0
0.006212840,1
0.006216840,0
0.006314840,1
0.006412840,0
0.006419840,1
0.006423840,0
0.006511840,1
0.006618840,0
0.006625840,1
0.006629840,0
0.006729840,1
0.006825840,0
0.006832840,1
0.006836840,0
0.006958840,1
0.007033840,0
0.007041840,1
0.007044840,0
0.007111840,1
0.007245840,0
0.007253840,1
0.007256840,0
0.007303840,1
0.007306840,0
0.007311840,1
0.007452840,0
0.007460840,1
0.007463840,0
0.007510840,1
0.007658840,0
0.007734840,1
0.007738840,0
0.007743840,1
0.009517840,0
0.009670800,1
0.009722840,0
0.009729800,1
0.009732840,0
0.009876800,1
0.009931840,0
0.010083800,1
0.010140840,0
0.010290800,1
0.010347840,0
0.010496800,1
0.010554840,0
0.010702800,1
0.011175840,0
0.011322800,1
0.011382840,0
0.011528800,1
0.011589800,0
0.011735800,1
0.011796840,0
0.011942800,1
0.012003800,0
0.012010800,1
0.012013800,0
0.012148800,1
0.012209800,0
0.012216800,1
0.012219800,0
0.012354800,1
0.012409800,0
0.012561800,1
0.012612800,0
0.012619800,1
0.012623800,0
0.020649800,1
0.026598800,0
0.026604800,1
0.027164800,0
0.027171800,1
0.027175800,0
0.027307800,1
0.027371800,0
0.027378800,1
0.027382800,0
0.027491800,1
0.027578800,0
0.027585800,1
0.027589800,0
0.027720800,1
0.027784800,0
0.027791800,1
0.027795800,0
0.027937800,1
0.027991800,0
0.027998800,1
0.028002800,0
0.028129800,1
0.028198800,0
0.028205800,1
0.028209800,0
0.028318800,1
0.028817800,0
0.028824760,1
0.028828800,0
0.028926760,1
0.029024800,0
0.029031760,1
0.029035800,0
0.029123760,1
0.029230800,0
0.029237760,1
0.029241800,0
0.029341760,1
0.029437800,0
0.029444760,1
0.029448800,0
0.029570760,1
0.029645800,0
0.029653760,1
0.029656800,0
0.029723760,1
0.029857800,0
0.029865760,1
0.029868800,0
0.029915760,1
0.029918800,0
0.029923760,1
0.030064800,0
0.030072760,1
0.030075800,0
0.030122760,1
0.030270800,0
0.030346760,1
0.030350800,0
0.030355760,1
0.032129760,0
0.032282760,1
0.032334760,0
0.032341760,1
0.032344760,0
0.032488760,1
0.032543760,0
0.032695760,1
0.032752760,0
0.032902760,1
0.032959760,0
0.033108760,1
0.033166760,0
0.033314760,1
0.033787760,0
0.033934760,1
0.033994760,0
0.034140760,1
0.034201760,0
0.034347760,1
0.034408760,0
0.034554760,1
0.034615760,0
0.034622760,1
0.034625760,0
0.034760760,1
0.034821760,0
0.034828760,1
0.034831760,0
0.034966760,1
0.035021760,0
0.035173760,1
0.035224760,0
0.035231760,1
0.035235760,0
0.043261760,1
0.049210760,0
0.049216720,1
0.049219760,0
0.058004400,1
0.058005200,0
0.058005640,1
0.058006480,0
0.058006920,1
0.058007320,0
0.058008160,1
0.058008560,0
0.058009400,1
0.058010200,0
0.058010640,1
0.058011080,0
0.058011920,1
0.058012320,0
0.058013160,1
0.058013560,0
0.058014400,1
0.058014800,0
0.058015640,1
0.058016080,0
0.058016920,1
0.058017320,0
0.058018160,1
0.058018560,0
0.058019400,1
0.058019800,0
0.058020640,1
0.058021080,0
0.058021920,1
0.058022320,0
0.058023160,1
0.058023560,0
0.058024400,1
0.058024800,0
0.058025640,1
0.058026080,0
0.058026920,1
0.058027320,0
0.058028160,1
0.058028560,0
0.058029400,1
0.058029800,0
0.058030640,1
0.058031080,0
0.058031920,1
0.058032320,0
0.058033160,1
0.058033560,0
0.058034400,1
0.058035200,0
0.058035640,1
0.058036480,0
0.058036920,1
0.058037320,0
0.058038160,1
0.058038560,0
0.058039400,1
0.058040200,0
0.058040640,1
0.058041080,0
0.058041920,1
0.058042320,0
0.058043160,1
0.058043560,0
0.058044400,1
0.058044800,0
0.058045640,1
0.058046080,0
0.058046920,1
0.058047320,0
0.058048160,1
0.058048560,0
0.058049400,1
0.058049800,0
0.058050640,1
0.058051080,0
0.058051920,1
0.058052320,0
0.058053160,1
0.058053560,0
0.058054400,1
0.058054800,0
0.058055640,1
0.058056040,0
0.058056920,1
0.058057320,0
0.058058160,1
0.058058560,0
0.058059400,1
0.058059800,0
0.058060640,1
0.058061040,0
0.058061920,1
0.058062320,0
0.058063160,1
0.058063560,0
0.058064400,1
0.058065200,0
0.058065640,1
0.058066480,0
0.058066920,1
0.058067320,0
0.058068160,1
0.058068560,0
0.058069400,1
0.058070200,0
0.058070640,1
0.058071080,0
0.058071920,1
0.058072320,0
0.058073160,1
0.058073560,0
0.058074400,1
0.058074800,0
0.058075640,1
0.058076080,0
0.058076920,1
0.058077320,0
0.058078160,1
0.058078560,0
0.058079400,1
0.058079800,0
0.058080640,1
0.058081080,0
0.058081920,1
0.058082320,0
0.058083160,1
0.058083560,0
0.058084400,1
0.058084800,0
0.058085640,1
0.058086080,0
0.058086920,1
0.058087320,0
0.058088160,1
0.058088560,0
0.058089400,1
0.058089800,0
0.058090640,1
0.058091080,0
0.058091920,1
0.058092320,0
0.058093160,1
0.058093560,0
0.058094400,1
0.058095200,0
0.058095640,1
0.058096480,0
0.058096920,1
0.058097320,0
0.058098160,1
0.058098560,0
0.058099400,1
0.058100200,0
0.058100640,1
0.058101080,0
0.058101920,1
0.058102320,0
0.058103160,1
0.058103560,0
0.058104400,1
0.058104800,0
0.058105640,1
0.058106080,0
0.058106920,1
0.058107320,0
0.058108160,1
0.058108560,0
0.058109400,1
0.058109800,0
0.058110640,1
0.058111080,0
0.058111920,1
0.058112320,0
0.058113160,1
0.058113560,0
0.058114400,1
0.058114800,0
0.058115640,1
0.058116040,0
0.058116920,1
0.058117320,0
0.058118160,1
0.058118560,0
0.058119400,1
0.058119800,0
0.058120640,1
0.058121040,0
0.058121920,1
0.058122320,0
0.058123160,1
0.058123560,0
0.078766920,1
0.078767320,0
0.078768160,1
0.078768600,0
0.078769440,1
0.078770240,0
0.078770680,1
0.078771080,0
0.078771920,1
0.078772720,0
0.078773160,1
0.078773600,0
0.078774440,1
0.078774840,0
0.078775680,1
0.078776080,0
0.078776920,1
0.078777320,0
0.078778160,1
0.078778600,0
0.078779440,1
0.078779840,0
0.078780680,1
0.078781080,0
0.078781920,1
0.078782320,0
0.078783160,1
0.078783560,0
0.078784440,1
0.078784840,0
0.078785680,1
0.078786080,0
0.078786920,1
0.078787320,0
0.078788160,1
0.078788960,0
0.078789440,1
0.078790240,0
0.078790680,1
0.078791480,0
0.078791920,1
0.078792720,0
0.078793160,1
0.078793600,0
0.078794440,1
0.078794840,0
0.078795680,1
0.078796080,0
0.078796920,1
0.078797320,0
0.078798160,1
0.078798600,0
0.078799440,1
0.078800240,0
0.078800680,1
0.078801080,0
0.078801920,1
0.078802720,0
0.078803160,1
0.078803560,0
0.078804440,1
0.078804840,0
0.078805680,1
0.078806080,0
0.078806920,1
0.078807320,0
0.078808160,1
0.078808560,0
0.078809440,1
0.078809840,0
0.078810680,1
0.078811080,0
0.078811920,1
0.078812320,0
0.078813160,1
0.078813600,0
0.078814440,1
0.078814840,0
0.078815680,1
0.078816080,0
0.078816920,1
0.078817320,0
0.078818160,1
0.078818960,0
0.078819440,1
0.078820240,0
0.078820680,1
0.078821480,0
0.078821920,1
0.078822720,0
0.078823160,1
0.078823560,0
0.078824440,1
0.078824840,0
0.078825680,1
0.078826080,0
0.078826920,1
0.078827320,0
0.078828160,1
0.078828560,0
0.078829440,1
0.078830240,0
0.078830680,1
0.078831080,0
0.078831920,1
0.078832720,0
0.078833160,1
0.078833560,0
0.078834440,1
0.078834840,0
0.078835680,1
0.078836080,0
0.078836920,1
0.078837320,0
0.078838160,1
0.078838600,0
0.078839440,1
0.078839840,0
0.078840680,1
0.078841080,0
0.078841920,1
0.078842320,0
0.078843160,1
0.078843560,0
0.078844440,1
0.078844840,0
0.078845680,1
0.078846080,0
0.078846920,1
0.078847320,0
0.078848160,1
0.078849000,0
0.078849440,1
0.078850240,0
0.078850680,1
0.078851480,0
0.078851920,1
0.078852720,0
0.078853160,1
0.078853560,0
0.078854440,1
0.078854840,0
0.078855680,1
0.078856080,0
0.078856920,1
0.078857320,0
0.078858160,1
0.078858600,0
0.078859440,1
0.078860240,0
0.078860680,1
0.078861080,0
0.078861920,1
0.078862720,0
0.078863160,1
0.078863560,0
0.078864440,1
0.078864840,0
0.078865680,1
0.078866080,0
0.078866920,1
0.078867320,0
0.078868160,1
0.078868560,0
0.078869440,1
0.078869840,0
0.078870680,1
0.078871080,0
0.078871920,1
0.078872320,0
0.078873160,1
0.078873600,0
0.078874440,1
0.078874840,0
0.078875680,1
0.078876080,0
0.078876920,1
0.078877320,0
0.078878160,1
0.078878960,0
0.078879440,1
0.078880240,0
0.078880680,1
0.078881480,0
0.078881920,1
0.078882720,0
0.078883160,1
0.078883560,0
0.078884440,1
0.078884840,0
0.078885680,1
0.078886080,0
0.098667120,1
0.098667520,0
0.098668360,1
0.098668760,0
0.098669640,1
0.098670440,0
0.098670880,1
0.098671280,0
0.098672120,1
0.098672920,0
0.098673360,1
0.098673760,0
0.098674640,1
0.098675040,0
0.098675880,1
0.098676280,0
0.098677120,1
0.098677520,0
0.098678360,1
0.098678760,0
0.098679640,1
0.098680040,0
0.098680880,1
0.098681280,0
0.098682120,1
0.098682520,0
0.098683360,1
0.098683760,0
0.098684640,1
0.098685040,0
0.098685880,1
0.098686280,0
0.098687120,1
0.098687520,0
0.098688360,1
0.098689160,0
0.098689640,1
0.098690440,0
0.098690880,1
0.098691680,0
0.098692120,1
0.098692920,0
0.098693360,1
0.098693760,0
0.098694640,1
0.098695040,0
0.098695880,1
0.098696280,0
0.098697120,1
0.098697520,0
0.098698360,1
0.098698760,0
0.098699640,1
0.098700440,0
0.098700880,1
0.098701280,0
0.098702120,1
0.098702920,0
0.098703360,1
0.098703760,0
0.098704640,1
0.098705040,0
0.098705880,1
0.098706280,0
0.098707120,1
0.098707520,0
0.098708360,1
0.098708760,0
0.098709640,1
0.098710040,0
0.098710880,1
0.098711280,0
0.098712120,1
0.098712520,0
0.098713360,1
0.098713760,0
0.098714640,1
0.098715040,0
0.098715880,1
0.098716280,0
0.098717120,1
0.098717520,0
0.098718360,1
0.098719160,0
0.098719640,1
0.098720440,0
0.098720880,1
0.098721680,0
0.098722120,1
0.098722920,0
0.098723360,1
0.098723760,0
0.098724640,1
0.098725040,0
0.098725880,1
0.098726280,0
0.098727120,1
0.098727520,0
0.098728360,1
0.098728760,0
0.098729640,1
0.098730440,0
0.098730880,1
0.098731280,0
0.098732120,1
0.098732920,0
0.098733360,1
0.098733760,0
0.098734640,1
0.098735040,0
0.098735880,1
0.098736280,0
0.098737120,1
0.098737520,0
0.098738360,1
0.098738760,0
0.098739640,1
0.098740040,0
0.098740880,1
0.098741280,0
0.098742120,1
0.098742520,0
