Time [s],Channel 0,Channel 1
0.000000000,1,0
0.002539560,0,0
0.002544720,1,0
0.002559800,0,0
0.002576840,1,0
0.002603120,0,0
0.002630640,1,0
0.002636240,0,0
0.002640040,1,0
0.002649080,0,0
0.002671360,1,0
0.003727160,0,0
0.003728680,1,0
0.003758640,0,0
0.003760920,1,0
0.003774800,0,0
0.003776680,1,0
0.003790480,0,0
0.003792840,1,0
0.003806520,0,0
0.003808760,1,0
0.003822560,0,0
0.003824600,1,0
0.003838440,0,0
0.003840680,1,0
0.003854400,0,0
0.003856520,1,0
0.003870440,0,0
0.003872400,1,0
0.003886640,0,0
0.003888320,1,0
0.003902200,0,0
0.003904640,1,0
0.003918240,0,0
0.003920560,1,0
0.003934000,0,0
0.003936520,1,0
0.003950120,0,0
0.003952280,1,0
0.003965960,0,0
0.003968280,1,0
0.003981960,0,0
0.003984280,1,0
0.003997880,0,0
0.004000240,1,0
0.004013840,0,0
0.004016240,1,0
0.004029800,0,0
0.004031960,1,0
0.004045880,0,0
0.004048000,1,0
0.004061760,0,0
0.004064120,1,0
0.004077680,0,0
0.004080120,1,0
0.004093640,0,0
0.004095960,1,0
0.004109640,0,0
0.004112120,1,0
0.004125280,0,0
0.004128080,1,0
0.004141520,0,0
0.004143960,1,0
0.004157240,0,0
0.004159920,1,0
0.004173200,0,0
0.004175720,1,0
0.004189280,0,0
0.004191760,1,0
0.004205240,0,0
0.004207640,1,0
0.004221280,0,0
0.004223720,1,0
0.004237360,0,0
0.004239320,1,0
0.004253200,0,0
0.004255680,1,0
0.004269040,0,0
0.004271560,1,0
0.004285120,0,0
0.004287640,1,0
0.004300800,0,0
0.004303520,1,0
0.004316920,0,0
0.004319560,1,0
0.004332640,0,0
0.004335440,1,0
0.004348800,0,0
0.004351400,1,0
0.004364800,0,0
0.004367160,1,0
0.004380720,0,0
0.004383280,1,0
0.004396760,0,0
0.004399080,1,0
0.004412760,0,0
0.004415080,1,0
0.004428680,0,0
0.004431160,1,0
0.004444560,0,0
0.004447240,1,0
0.004460520,0,0
0.004463120,1,0
0.004476360,0,0
0.004479200,1,0
0.004492280,0,0
0.004495080,1,0
0.004508080,0,0
0.004511040,1,0
0.004524160,0,0
0.004526960,1,0
0.004540160,0,0
0.004542840,1,0
0.004556120,0,0
0.004558800,1,0
0.004572240,0,0
0.004574720,1,0
0.004588040,0,0
0.004590800,1,0
0.004603960,0,0
0.004606880,1,0
0.004619720,0,0
0.004623040,1,0
0.004635720,0,0
0.004638920,1,0
0.004651320,0,0
0.004654920,1,0
0.004667080,0,0
0.004670880,1,0
0.004677560,0,0
0.004687160,1,0
0.004692480,0,0
0.004703280,1,0
0.004707560,0,0
0.004719880,1,0
0.004722840,0,0
0.004735760,1,0
0.004738960,0,0
0.004751840,1,0
0.004755160,0,0
0.013143920,1,0
0.013149200,0,0
0.013153480,1,0
0.019197600,0,0
0.019203360,1,0
0.019218480,0,0
0.019236200,1,0
0.019261720,0,0
0.019300640,1,0
0.019305680,0,0
0.019329360,1,0
0.020383600,0,0
0.020385760,1,0
0.020399520,0,0
0.020401760,1,0
0.020415320,0,0
0.020417800,1,0
0.020431440,0,0
0.020433720,1,0
0.020447280,0,0
0.020449720,1,0
0.020463440,0,0
0.020465480,1,0
0.020479280,0,0
0.020481640,1,0
0.020495240,0,0
0.020497480,1,0
0.020511160,0,0
0.020513520,1,0
0.020527080,0,0
0.020529640,1,0
0.020543000,0,0
0.020545560,1,0
0.020559280,0,0
0.020561160,1,0
0.020575160,0,0
0.020577160,1,0
0.020591200,0,0
0.020593080,1,0
0.020607080,0,0
0.020609040,1,0
0.020638920,0,0
0.020640920,1,0
0.020655000,0,0
0.020656800,1,0
0.020670840,0,0
0.020672840,1,0
0.020686880,0,0
0.020688680,1,0
0.020702840,0,0
0.020704640,1,0
0.020718640,0,0
0.020720720,1,0
0.020734600,0,0
0.020736760,1,0
0.020750400,0,0
0.020752760,1,0
0.020766480,0,0
0.020768680,1,0
0.020782320,0,0
0.020784600,1,0
0.020798400,0,0
0.020800560,1,0
0.020814280,0,0
0.020816560,1,0
0.020830240,0,0
0.020832560,1,0
0.020846040,0,0
0.020848640,1,0
0.020861920,0,0
0.020864640,1,0
0.020877960,0,0
0.020880520,1,0
0.020893800,0,0
0.020896560,1,0
0.020909800,0,0
0.020912440,1,0
0.020925760,0,0
0.020928560,1,0
0.020941720,0,0
0.020944400,1,0
0.020957560,0,0
0.020960520,1,0
0.020973560,0,0
0.020976400,1,0
0.020989440,0,0
0.020992400,1,0
0.021005520,0,0
0.021008360,1,0
0.021021440,0,0
0.021024320,1,0
0.021037520,0,0
0.021040240,1,0
0.021053440,0,0
0.021056200,1,0
0.021069520,0,0
0.021072160,1,0
0.021085560,0,0
0.021088040,1,0
0.021101480,0,0
0.021104000,1,0
0.021117560,0,0
0.021119720,1,0
0.021133400,0,0
0.021135840,1,0
0.021149440,0,0
0.021151520,1,0
0.021165360,0,0
0.021167720,1,0
0.021181320,0,0
0.021183360,1,0
0.021197120,0,0
0.021199640,1,0
0.021213080,0,0
0.021215520,1,0
0.021228920,0,0
0.021231520,1,0
0.021244880,0,0
0.021247560,1,0
0.021260840,0,0
0.021263520,1,0
0.021276520,0,0
0.021279520,1,0
0.021292240,0,0
0.021295560,1,0
0.021308040,0,0
0.021311680,1,0
0.021321480,0,0
0.021327800,1,0
0.021334160,0,0
0.021343960,1,0
0.021349160,0,0
0.021360240,1,0
0.021364920,0,0
0.021376680,1,0
0.021380280,0,0
0.021392520,1,0
0.021396400,0,0
0.021408680,1,0
0.021412160,0,0
0.029801760,1,0
0.029803560,0,0
0.029810000,1,0
0.035859120,0,0
0.035863920,1,0
0.035880760,0,0
0.035896600,1,0
0.035924840,0,0
0.035958600,1,0
0.035970560,0,0
0.035991440,1,0
0.037024960,0,0
0.037027120,1,0
0.037041000,0,0
0.037043000,1,0
0.037056960,0,0
0.037058760,1,0
0.037088720,0,0
0.037090840,1,0
0.037104720,0,0
0.037106760,1,0
0.037120640,0,0
0.037122800,1,0
0.037136880,0,0
0.037138400,1,0
0.037152600,0,0
0.037154560,1,0
0.037168600,0,0
0.037170480,1,0
0.037184560,0,0
0.037186600,1,0
0.037200480,0,0
0.037202480,1,0
0.037216560,0,0
0.037218560,1,0
0.037232800,0,0
0.037234320,1,0
0.037248760,0,0
0.037250320,1,0
0.037264120,0,0
0.037266600,1,0
0.037280160,0,0
0.037282520,1,0
0.037295840,0,0
0.037298560,1,0
0.037311840,0,0
0.037314400,1,0
0.037327760,0,0
0.037330320,1,0
0.037343920,0,0
0.037346160,1,0
0.037359760,0,0
0.037362200,1,0
0.037375720,0,0
0.037378120,1,0
0.037391640,0,0
0.037394200,1,0
0.037407640,0,0
0.037410120,1,0
0.037423600,0,0
0.037425960,1,0
0.037439720,0,0
0.037442080,1,0
0.037455680,0,0
0.037457880,1,0
0.037471600,0,0
0.037474040,1,0
0.037487400,0,0
0.037490000,1,0
0.037503360,0,0
0.037506000,1,0
0.037519200,0,0
0.037521960,1,0
0.037535120,0,0
0.037537880,1,0
0.037551160,0,0
0.037553800,1,0
0.037567200,0,0
0.037569600,1,0
0.037583200,0,0
0.037585680,1,0
0.037599160,0,0
0.037601440,1,0
0.037615160,0,0
0.037617560,1,0
0.037631160,0,0
0.037633360,1,0
0.037647160,0,0
0.037649440,1,0
0.037663080,0,0
0.037665360,1,0
0.037679080,0,0
0.037681400,1,0
0.037695000,0,0
0.037697240,1,0
0.037710960,0,0
0.037713440,1,0
0.037726760,0,0
0.037729400,1,0
0.037742800,0,0
0.037745400,1,0
0.037758560,0,0
0.037761280,1,0
0.037774440,0,0
0.037777280,1,0
0.037790400,0,0
0.037793160,1,0
0.037806440,0,0
0.037809000,1,0
0.037822320,0,0
0.037825000,1,0
0.037838400,0,0
0.037840840,1,0
0.037854400,0,0
0.037856920,1,0
0.037870280,0,0
0.037872920,1,0
0.037886280,0,0
0.037889000,1,0
0.037902240,0,0
0.037904800,1,0
0.037918240,0,0
0.037921000,1,0
0.037934000,0,0
0.037936960,1,0
0.037949920,0,0
0.037953120,1,0
0.037965600,0,0
0.037969040,1,0
0.037981400,0,0
0.037984960,1,0
0.037993480,0,0
0.038001120,1,0
0.038006720,0,0
0.038017360,1,0
0.038022120,0,0
0.038033440,1,0
0.038037440,0,0
0.038049840,1,0
0.038053400,0,0
0.038065640,1,0
0.038068680,0,0
0.046467280,1,0
0.052519640,0,0
0.052524800,1,0
0.052541440,0,0
0.052558480,1,0
0.052582520,0,0
0.052601000,1,0
0.052603680,0,0
0.052616480,1,0
0.052624400,0,0
0.052650880,1,0
0.053138200,0,0
0.053142800,1,0
0.053666320,0,0
0.053668040,1,0
0.053682120,0,0
0.053684160,1,0
0.053698080,0,0
0.053700040,1,0
0.053714200,0,0
0.053716040,1,0
0.053729960,0,0
0.053732000,1,0
0.053745960,0,0
0.053748040,1,0
0.053761800,0,0
0.053764080,1,0
0.053777800,0,0
0.053780080,1,0
0.053793600,0,0
0.053796080,1,0
0.053809440,0,0
